name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991
			NetIncomeContinuousOperations,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,537,000","11,236,000","15,312,000","17,113,000","12,182,000","8,808,000","12,958,000","15,363,000","11,932,000","7,136,000","12,497,000","12,070,000","12,097,000","8,414,000","12,017,000","14,392,000","11,531,000","7,904,000","11,123,000","13,435,000","11,087,000","7,407,000","10,207,000","12,053,000","9,211,000","5,525,000","8,324,000","9,793,000","6,854,000","3,654,000","6,483,000","7,751,000","5,564,000","3,254,000","6,477,000","7,185,000","6,140,000","3,034,000","5,749,000","9,759,000","5,672,000","2,297,000","4,574,000","9,683,000","3,324,000","586,000","4,120,000","8,856,000","4,864,000","1,356,000","4,021,000","8,450,000","4,606,000","1,089,000","3,843,000","8,051,000","4,417,000","930,000","3,589,000","7,616,000","4,183,000","532,000","3,315,000","6,950,000","3,983,000","100,000","2,800,000","6,600,000","3,800,000",,"3,000,000","6,300,000","2,900,000","900,000","3,300,000","6,000,000","2,400,000","600,000","2,600,000","5,100,000","2,000,000","400,000","2,200,000","4,400,000","2,000,000","300,000","2,100,000","4,300,000","-1,200,000","-800,000","1,400,000","4,200,000","-11,400,000","-900,000","1,800,000","4,500,000","200,000","-300,000","1,600,000","4,100,000"
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-900,000",,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,"126,000","37,000","37,000","38,000","37,000","38,000","37,000","163,000","277,000","150,000","149,000","150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000","300,000","600,000",,"300,000",,"500,000",,"200,000",,,,,,,,,
DilutedNIAvailtoComStockholders,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,411,000","11,199,000","15,275,000","17,075,000","12,145,000","8,770,000","12,921,000","15,200,000","11,655,000","6,986,000","12,348,000","11,920,000","11,944,000","8,414,000","12,017,000","14,392,000","11,531,000","7,904,000","11,123,000","13,435,000","11,087,000","7,407,000","10,207,000","12,053,000","9,211,000","5,525,000","8,324,000","9,793,000","6,854,000","3,654,000","6,483,000","7,751,000","5,564,000","3,254,000","6,477,000","7,185,000","6,140,000","3,034,000","5,749,000","9,759,000","5,672,000","2,297,000","4,574,000","9,683,000","3,324,000","586,000","4,120,000","8,856,000","4,864,000","1,356,000","4,021,000","8,450,000","4,606,000","1,089,000","3,843,000","8,051,000","4,417,000","930,000","3,589,000","7,616,000","4,183,000","532,000","3,315,000","6,950,000","3,983,000","100,000","2,800,000","6,600,000","3,800,000",,"3,000,000","6,300,000","2,900,000","900,000","3,300,000","6,000,000","2,400,000","600,000","2,600,000","5,100,000","200,000","400,000","1,900,000","4,100,000","1,400,000","300,000","1,800,000","4,300,000","8,300,000","-800,000","1,200,000","4,200,000","-12,500,000","-900,000","1,800,000","4,500,000","200,000","-300,000","1,600,000",
BasicEPS,,,"0.33","0.42","0.58",,"0.39","0.505","0.55",,"0.285","0.35","0.37",,"0.265","0.44","0.525",,"0.44","0.365","0.41",,"0.26","0.265","0.31",,"0.12","0.165","0.185",,"0.095","0.14","0.165",,"0.075","0.135","0.13",,"0.09","0.13","0.155",,"0.085","0.12","0.145",,"0.08","0.11","0.13",,"0.06","0.09","0.105",,"0.04","0.07","0.085",,"0.035","0.07","0.08",,"0.033","0.062","0.108",,"0.025","0.05","0.108",,"0.008","0.046","0.1",,"0.015","0.046","0.096",,"0.012","0.044","0.092",,"0.01","0.042","0.088",,"0.006","0.037","0.079",,"0.002","0.033","0.073",,,"0.033","0.071",,"0.01","0.037","0.067",,"0.006","0.029","0.058",,"0.002","0.023","0.046",,"0.003","0.021","0.046",,"-0.012","0.015","0.046",,"-0.012","0.019","0.048",,"-0.006","0.017","0.044"
DilutedEPS,,,"0.33","0.42","0.58",,"0.39","0.505","0.545",,"0.285","0.35","0.37",,"0.265","0.44","0.52",,"0.44","0.36","0.41",,"0.26","0.265","0.31",,"0.12","0.165","0.185",,"0.095","0.14","0.165",,"0.075","0.135","0.13",,"0.09","0.13","0.155",,"0.085","0.12","0.145",,"0.08","0.11","0.13",,"0.06","0.09","0.105",,"0.04","0.07","0.085",,"0.035","0.07","0.08",,"0.033","0.062","0.104",,"0.025","0.05","0.104",,"0.008","0.046","0.096",,"0.015","0.044","0.092",,"0.012","0.042","0.088",,"0.01","0.04","0.083",,"0.006","0.037","0.077",,"0.002","0.031","0.071",,,"0.031","0.069",,"0.01","0.035","0.065",,"0.006","0.029","0.056",,"0.002","0.023","0.046",,"0.003","0.021","0.046",,"-0.012","0.015","0.046",,"-0.012","0.019","0.048",,"-0.006","0.017","0.044"
BasicAverageShares,,,"93,329,000","93,321,000","93,306,000",,"93,296,000","93,276,000","93,248,000",,"93,200,000","93,306,000","93,292,000",,"93,276,000","93,256,000","93,238,000",,"93,206,000","93,186,000","93,170,000",,"93,132,000","93,120,000","93,112,000",,"92,896,000","92,832,000","92,794,000",,"92,716,000","92,682,000","92,672,000",,"92,662,000","92,660,000","92,660,000",,"92,642,000","92,600,000","92,582,000",,"92,552,000","92,544,000","92,482,000",,"92,412,000","92,322,000","92,312,000",,"92,160,000","92,040,000","92,026,000",,"92,006,000","92,004,000","91,964,000",,"91,824,000","91,804,000","91,624,000",,"91,579,832","91,551,020","91,466,400",,"90,900,360","90,528,212","90,285,600",,"90,187,200","66,204,082","90,144,000",,"88,502,400","88,484,994","88,401,600",,"88,340,936","88,336,134","88,296,000",,"87,236,494","87,236,494","87,177,600",,"87,154,862","87,174,070","87,249,600",,"89,447,544","84,033,613","90,550,506",,"89,315,726","90,036,014","88,976,767",,"86,434,574","88,035,214","90,036,014",,"96,038,415","89,178,529","87,463,557",,"88,762,778","82,942,268","89,490,342",,"88,535,414","86,434,574","93,855,724",,"64,025,610","82,318,642","91,673,033",,"72,028,812","96,038,415","93,950,624",,"94,382,581","96,038,415","89,162,064"
DilutedAverageShares,,,"93,611,000","93,640,000","93,574,000",,"93,610,000","93,754,000","93,508,000",,"93,604,000","93,754,000","93,760,000",,"93,868,000","93,856,000","93,838,000",,"93,846,000","93,850,000","93,832,000",,"93,526,000","93,522,000","93,534,000",,"93,414,000","93,294,000","93,182,000",,"93,160,000","93,084,000","93,058,000",,"93,044,000","93,020,000","93,034,000",,"92,964,000","92,970,000","92,936,000",,"92,944,000","92,896,000","92,806,000",,"92,766,000","92,734,000","92,706,000",,"92,614,000","92,550,000","92,520,000",,"92,410,000","92,390,000","92,270,000",,"92,188,000","92,212,000","92,246,000",,"92,168,068","92,160,864","92,107,200",,"92,016,806","91,875,150","91,821,600",,"91,838,400","91,812,726","91,833,600",,"91,588,800","91,567,828","91,531,200",,"91,591,836","91,394,958","91,483,200",,"91,222,088","91,111,644","90,993,600",,"90,396,158","90,117,648","90,532,800",,"93,098,464","89,635,854","93,213,756",,"93,037,215","96,038,415","91,673,033",,"86,434,574","93,213,756","92,940,402",,"96,038,415","89,178,529","90,702,948",,"88,762,778","82,942,268","89,490,342",,"88,535,414","86,434,574","93,855,724",,"64,025,610","82,318,642","91,673,033",,"72,028,812","96,038,415","93,950,624",,"94,382,581","96,038,415","89,162,064"
TotalOperatingIncomeAsReported,"207,856,000","45,271,000","40,696,000","51,561,000","70,328,000","51,401,000","48,163,000","61,590,000","66,671,000","46,312,000","33,213,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,304,000",,,,,,,"3,818,000",,"6,535,000","14,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalExpenses,"930,157,000","238,949,000","218,227,000","231,597,000","241,384,000","209,702,000","197,768,000","210,219,000","226,696,000","216,089,000","189,601,000","209,967,000","218,991,000","206,161,000","189,873,000","208,551,000","229,586,000","194,305,000","181,727,000","193,462,000","202,052,000","167,677,000","157,802,000","165,860,000","173,102,000","152,564,000","144,569,000","155,306,000","159,293,000","146,072,000","129,524,000","143,813,000","152,433,000","147,946,000","126,547,000","148,517,000","153,690,000","149,767,000","132,300,000","148,104,000","160,809,000","148,069,000","124,581,000","140,784,000","148,364,000","135,462,000","120,409,000","135,282,000","146,271,000","134,865,000","122,828,000","136,294,000","147,622,000","137,204,000","124,232,000","134,795,000","141,009,000","138,755,000","118,306,000","133,833,000","140,973,000","127,667,000","112,819,000","127,266,000","135,253,000","126,413,000","106,312,000","124,588,000","126,908,000","116,873,000","102,746,000","118,323,000","132,301,000","122,247,000","104,989,000","122,993,000","132,145,000","122,276,000","98,867,000","121,261,000","129,955,000","118,714,000","98,939,000","118,365,000","139,948,000","115,433,000","96,081,000","115,277,000","128,804,000","104,449,000","82,700,000","100,100,000","119,100,000","97,900,000","73,800,000","96,000,000","111,300,000","100,600,000","76,600,000","94,100,000","105,900,000","100,300,000","73,100,000","89,800,000","101,100,000","92,700,000","65,600,000","97,200,000","111,200,000","76,100,000","65,900,000","102,000,000","103,600,000","79,500,000","66,100,000","81,300,000","98,100,000","78,100,000","60,100,000","80,300,000","92,400,000","88,600,000","59,700,000","77,100,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,537,000","11,236,000","15,312,000","17,113,000","12,182,000","8,808,000","12,958,000","15,363,000","11,932,000","7,136,000","12,497,000","12,070,000","12,097,000","8,414,000","12,017,000","14,392,000","11,531,000","7,904,000","11,123,000","13,435,000","11,087,000","7,407,000","10,207,000","12,053,000","9,211,000","5,525,000","8,324,000","9,793,000","6,854,000","3,654,000","6,483,000","7,751,000","5,564,000","3,254,000","6,477,000","7,185,000","6,140,000","3,034,000","5,749,000","9,759,000","5,672,000","2,297,000","4,574,000","9,683,000","3,324,000","586,000","4,120,000","8,856,000","4,864,000","1,356,000","4,021,000","8,450,000","4,606,000","1,089,000","3,843,000","8,051,000","4,417,000","930,000","3,589,000","7,616,000","4,183,000","532,000","3,315,000","6,950,000","3,983,000","100,000","2,800,000","6,600,000","3,800,000",,"3,000,000","6,300,000","2,900,000","900,000","3,300,000","6,000,000","2,400,000","600,000","2,600,000","5,100,000","2,000,000","400,000","2,200,000","4,400,000","2,000,000","300,000","2,100,000","4,300,000","8,800,000","-800,000","1,400,000","4,200,000","-11,400,000","-900,000","1,800,000","4,500,000","200,000","-300,000","1,600,000",
NormalizedIncome,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,537,000","11,236,000","15,312,000","17,113,000","12,182,000","8,808,000","12,958,000","15,363,000","11,932,000","7,136,000","12,497,000","12,070,000","12,097,000","8,414,000","12,073,330","14,415,580","11,579,555.78","7,911,381.898","11,153,550.549","13,449,949.444","11,118,421.189","7,397,339.536","10,191,543.631","12,060,727.933","9,230,458.975","5,539,812.332","8,533,307.544","9,774,968.567","7,145,768.008","3,239,228.395","6,120,839.134","7,624,081.542","5,493,601.446","3,128,846.154","6,236,442.298","6,943,758.416","5,292,705.637","2,741,689.837","5,749,000","9,733,358.907","4,639,811.508","2,031,769.063","4,387,397.104","9,582,394.177","2,748,845.734","458,608.696","4,041,760.362","8,809,425.426","4,792,598.417","1,265,179.535","3,929,360.333","8,365,009.911","4,565,211.593","981,459.705","3,694,075.253","7,911,944.577","4,341,068.344","804,023.904","3,392,215.71","7,479,636.393","4,029,857.986","351,157.159","2,996,250","6,670,811.437","1,712,357.327","-140,000","2,551,111.111","6,413,207.547","3,613,114.754",,"2,750,000","6,050,495.05","2,647,826.087","660,000","3,046,153.846","5,750,000","2,273,684.211","540,000","2,473,170.732","4,848,148.148","2,000,000","400,000","2,011,428.571","4,152,112.676","2,000,000","300,000","1,972,727.273","4,180,000","4,260,000","-666,666.667","1,580,000","3,767,647.059","-3,000,000","-960,000","1,680,000","4,380,000","80,000","-420,000","1,420,000",
InterestIncome,,,,,,,,,"276,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,,,,,,,,,,,"51,000","50,000","50,000","51,000","51,000","51,000","50,000","50,000","50,000","51,000","50,000","50,000","51,000","50,000","38,000","50,000","40,000","62,000","51,000","60,000","81,000","106,000","124,000","145,000","153,000","166,000","196,000","224,000","116,000","31,000","32,000","22,000","31,000","31,000","23,000","17,000","31,000","20,000","31,000","31,000","32,000","27,000","30,000","24,000","28,000",,,,,,,,"27,000",,,,,,,"28,000",,"26,000","25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,,,,,,,,,"276,000",,"-51,000","-50,000","-50,000","-51,000","-51,000","-51,000","-50,000","-50,000","-50,000","-51,000","-50,000","-50,000","-51,000","-50,000","-38,000","-50,000","-40,000","-62,000","-51,000","-60,000","-81,000","-106,000","-124,000","-145,000","-153,000","-166,000","-196,000","-187,000","-116,000","-31,000","-32,000","47,000","-31,000","-31,000","-23,000","-17,000","-31,000","-20,000","-31,000","-31,000","-32,000","-27,000","-30,000","-24,000","-28,000",,,,,,,,"-27,000",,,,,,,"-28,000",,"-26,000","-25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"207,856,000","45,271,000","40,696,000","51,561,000","70,328,000","51,401,000","48,163,000","61,590,000","66,671,000","43,427,000","34,245,000","42,716,000","45,358,000","34,622,000","32,253,000","53,345,000","63,859,000","50,460,000","46,176,000","50,963,000","58,091,000","44,510,000","36,959,000","37,442,000","44,103,000","26,401,000","17,116,000","23,333,000","26,058,000","18,517,000","13,427,000","19,739,000","23,401,000","15,580,000","10,435,000","19,131,000","18,623,000","18,072,000","12,400,000","18,378,000","22,004,000","17,358,000","11,809,000","17,143,000","20,693,000","16,601,000","11,532,000","15,869,000","18,747,000","14,705,000","8,611,000","12,952,000","15,237,000","10,783,000","5,860,000","9,580,000","11,918,000","8,772,000","4,876,000","9,695,000","10,791,000","8,286,000","4,304,000","8,552,000","14,883,000","6,937,000","3,275,000","6,914,000","15,455,000","3,818,000","765,000","6,535,000","14,211,000","7,750,000","2,037,000","6,380,000","13,520,000","7,429,000","1,633,000","6,087,000","12,922,000","7,146,000","1,470,000","5,759,000","12,437,000","6,900,000","1,015,000","5,483,000","11,422,000","3,520,000","400,000","5,000,000","10,900,000","6,600,000","600,000","5,300,000","10,600,000","5,200,000","2,100,000","5,900,000","10,300,000","4,800,000","2,000,000","5,200,000","9,100,000","4,200,000","1,600,000","4,500,000","8,000,000","4,100,000","1,600,000","4,400,000","8,400,000","8,500,000","1,000,000","5,200,000","8,100,000","4,700,000","2,100,000","5,000,000","9,600,000","4,700,000","1,700,000","4,900,000","99,100,000"
EBITDA,"239,658,000"
ReconciledCostOfRevenue,"720,208,000","186,470,000","165,124,000","181,673,000","186,941,000","160,418,000","150,267,000","163,760,000","176,149,000","163,744,000","140,719,000","158,797,000","166,994,000","155,337,000","140,338,000","157,185,000","176,896,000","144,947,000","136,284,000","148,039,000","155,329,000","126,120,000","118,644,000","124,463,000","131,614,000","113,669,000","109,135,000","118,057,000","122,487,000","109,116,000","96,931,000","105,843,000","114,795,000","108,954,000","92,086,000","108,836,000","113,604,000","109,854,000","98,370,000","111,977,000","124,556,000","112,586,000","91,166,000","103,871,000","108,006,000","97,829,000","82,396,000","94,772,000","106,542,000","96,646,000","88,722,000","98,774,000","112,308,000","104,285,000","92,308,000","101,866,000","106,863,000","103,531,000","85,513,000","99,003,000","105,373,000","94,425,000","79,282,000","91,905,000","100,181,000","91,147,000","74,667,000","90,282,000","93,035,000","85,686,000","70,969,000","85,376,000","98,175,000","87,386,000","71,862,000","87,031,000","97,037,000","86,416,000","67,550,000","86,087,000","95,404,000","84,816,000","67,822,000","84,144,000","102,259,000","77,406,000","63,972,000","79,080,000","91,546,000","69,782,000","54,400,000","68,100,000","83,800,000","66,200,000","48,800,000","66,200,000","77,700,000","70,100,000","53,100,000","66,800,000","75,700,000","74,500,000","51,300,000","65,800,000","76,000,000","20,800,000","63,900,000","78,800,000","92,000,000","5,600,000","64,100,000","82,700,000","82,300,000","64,500,000","48,700,000","62,500,000","75,400,000","59,300,000","45,500,000","62,300,000","73,400,000","66,800,000","43,700,000","59,000,000",
ReconciledDepreciation,"31,802,000","7,974,000","7,722,000","7,865,000","8,241,000","7,583,000","7,705,000","7,843,000","8,026,000","17,170,000","4,469,000","4,500,000","4,446,000","3,914,000","4,170,000","3,400,000","3,955,000","2,953,000","3,186,000","3,556,000","3,531,000","3,234,000","3,243,000","3,255,000","3,102,000","2,985,000","3,016,000","3,035,000","3,020,000","2,707,000","2,820,000","3,005,000","3,048,000","2,799,000","3,078,000","2,883,000","2,948,000","2,567,000","2,676,000","2,806,000","2,953,000","2,688,000","2,555,000","2,683,000","2,725,000","2,489,000","2,887,000","3,196,000","2,784,000","2,498,000","3,475,000","3,430,000","2,947,000","2,676,000","3,041,000","3,081,000","2,984,000","2,760,000","2,972,000","2,998,000","2,854,000","2,482,000","3,033,000","3,078,000","3,057,000","3,538,000","3,360,000","3,384,000","3,305,000","3,190,000","3,091,000","3,144,000","3,039,000","3,119,000","2,716,000","2,750,000","2,809,000","2,942,000","2,858,000","2,746,000","2,773,000","2,950,000","2,991,000","2,923,000","2,886,000","3,474,000","2,875,000","2,763,000","2,627,000","2,263,000","2,500,000","2,600,000","2,800,000","2,900,000","2,200,000","2,500,000","2,300,000","2,600,000","2,200,000","2,300,000","2,200,000","2,200,000","1,900,000","1,800,000","1,900,000","1,900,000","1,700,000","1,700,000","1,800,000","1,900,000","1,800,000","1,900,000","1,800,000","1,900,000","1,900,000","1,600,000","1,800,000","2,100,000","1,600,000","1,600,000","1,600,000","1,800,000","1,600,000","1,600,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"158,512,000","34,344,000","31,068,000","39,284,000","53,816,000","39,131,000","36,687,000","47,164,000","51,164,000","36,213,000","26,563,000","32,654,000","34,542,000","26,136,000","24,809,000","41,078,000","48,830,000","36,442,000","41,080,000","33,980,000","38,272,000","29,161,000","24,285,000","24,604,000","28,995,000","17,537,000","11,236,000","15,312,000","17,113,000","12,182,000","8,808,000","12,958,000","15,363,000","11,932,000","7,136,000","12,497,000","12,070,000","12,097,000","8,414,000","12,017,000","14,392,000","11,531,000","7,904,000","11,123,000","13,435,000","11,087,000","7,407,000","10,207,000","12,053,000","9,211,000","5,525,000","8,324,000","9,793,000","6,854,000","3,654,000","6,483,000","7,751,000","5,564,000","3,254,000","6,477,000","7,185,000","6,140,000","3,034,000","5,749,000","9,759,000","5,672,000","2,297,000","4,574,000","9,683,000","3,324,000","586,000","4,120,000","8,856,000","4,864,000","1,356,000","4,021,000","8,450,000","4,606,000","1,089,000","3,843,000","8,051,000","4,417,000","930,000","3,589,000","7,616,000","4,183,000","532,000","3,315,000","6,950,000","3,983,000","100,000","2,800,000","6,600,000","3,800,000",,"3,000,000","6,300,000","2,900,000","900,000","3,300,000","6,000,000","2,400,000","600,000","2,600,000","5,100,000","2,000,000","400,000","2,200,000","4,400,000","2,000,000","300,000","2,100,000","4,300,000","-1,200,000","-800,000","1,400,000","4,200,000","-11,400,000","-900,000","1,800,000","4,500,000","200,000","-300,000","1,600,000",
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,000",,"-86,000","-36,000","-73,000","-11,000","-47,000","-23,000","-47,000","15,000","24,000","-12,000","-31,000","-23,000","-325,000","28,000","-458,000","662,000","565,000","198,000","112,000","194,000","373,000","374,000","1,322,000","456,000",,"40,000","1,537,000","424,000","293,000","162,000","793,000","205,000","126,000","75,000","115,000","144,000","148,000","137,000","66,000","174,000","241,000","225,000","123,000","204,000","319,000","221,000","248,000","292,000","515,000","451,000","3,754,000","400,000","400,000","300,000","300,000",,"400,000","400,000","400,000","400,000","400,000","400,000","200,000","100,000","200,000","400,000",,,"300,000","400,000",,,"200,000","200,000","-9,100,000","-200,000","-300,000","700,000","-14,000,000","100,000","200,000","200,000","200,000","200,000","300,000",
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-86,000","-36,000","-73,000","-11,000","-47,000","-23,000","-47,000","15,000","24,000","-12,000","-31,000","-23,000","-325,000","28,000","-458,000","662,000","565,000","198,000","112,000","194,000","373,000","374,000","1,322,000","456,000",,"40,000","1,537,000","424,000","293,000","162,000","793,000","205,000","126,000","75,000","115,000","144,000","148,000","137,000","66,000","174,000","241,000","225,000","123,000","204,000","319,000","221,000","248,000","292,000","515,000","451,000","3,754,000","400,000","400,000","300,000","300,000",,"400,000","400,000","400,000","400,000","400,000","400,000","200,000","100,000","200,000","400,000",,,"300,000","400,000",,,"200,000","200,000","-9,100,000","-200,000","-300,000","700,000","-14,000,000","100,000","200,000","200,000","200,000","200,000","300,000",
NormalizedEBITDA,"239,658,000","53,245,000","48,418,000","59,426,000","78,569,000","58,984,000","55,868,000","69,433,000","74,697,000","60,597,000","38,714,000","47,216,000","49,804,000","38,536,000","36,423,000","56,745,000","67,814,000","53,413,000","49,362,000","54,519,000","61,622,000","47,744,000","40,202,000","40,697,000","47,205,000","29,386,000","20,132,000","26,368,000","29,078,000","21,224,000","16,247,000","22,744,000","26,449,000","18,379,000","13,513,000","22,014,000","21,571,000","20,639,000","15,076,000","21,270,000","24,993,000","20,119,000","14,375,000","19,873,000","23,441,000","19,137,000","14,404,000","19,041,000","21,543,000","17,234,000","12,109,000","16,707,000","18,156,000","13,917,000","8,239,000","12,096,000","14,704,000","11,420,000","7,654,000","12,320,000","13,271,000","9,446,000","6,881,000","11,630,000","17,900,000","8,938,000","6,211,000","10,005,000","18,598,000","6,215,000","3,651,000","9,553,000","17,175,000","10,754,000","4,609,000","8,982,000","16,192,000","10,305,000","4,317,000","8,592,000","15,470,000","9,973,000","4,257,000","8,363,000","15,102,000","10,126,000","3,598,000","7,731,000","13,598,000","2,029,000","2,600,000","7,200,000","13,400,000","9,200,000","2,800,000","7,400,000","12,500,000","7,400,000","3,900,000","7,800,000","12,100,000","6,800,000","3,800,000","6,800,000","10,600,000","6,100,000","3,400,000","5,900,000","9,400,000","6,000,000","3,400,000","6,100,000","10,000,000","19,500,000","3,100,000","7,100,000","9,200,000","20,800,000","3,600,000","6,400,000","11,000,000","6,300,000","3,100,000","6,200,000","99,100,000"
TaxRateForCalcs,"0.236","0.239","0.235","0.238","0.235","0.237","0.239","0.235","0.236","0.234","0.223","0.235","0.238","0.244","0.23","0.229","0.235","0.277","0.109","0.333","0.341","0.344","0.342","0.342","0.342","0.334","0.342","0.342","0.342","0.34","0.34","0.34","0.34","0.227","0.306","0.341","0.345","0.322","0.315","0.345","0.345","0.335","0.329","0.35","0.35","0.331","0.356","0.356","0.356","0.372","0.356","0.356","0.356","0.363","0.373","0.359","0.359","0.371","0.355","0.355","0.355","0.359","0.359","0.359","0.359","0.328","0.374","0.363","0.379","0.275","0.379","0.379","0.379","0.379","0.369","0.381","0.38","0.382","0.382","0.382","0.382","0.383","0.382","0.383","0.383","0.382","0.381","0.381","0.381","0.395","0.4","0.378","0.377","0.377",,"0.375","0.376","0.37","0.4","0.365","0.375","0.368","0.4","0.366","0.37","0.375","0.4","0.371","0.38","0.375","0.4","0.364","0.4","0.4","0.333","0.4","0.382","0.4","0.4","0.4","0.4","0.4","0.4","0.4",
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-29,670","-12,420","-24,444.22","-3,618.102","-16,449.451","-8,050.556","-15,578.811","5,339.536","8,543.631","-4,272.067","-11,541.025","-8,187.668","-115,692.456","9,968.567","-166,231.992","247,228.395","202,839.134","71,081.542","41,601.446","68,846.154","132,442.298","132,758.416","474,705.637","163,689.837","0","14,358.907","504,811.508","158,769.063","106,397.104","61,394.177","217,845.734","77,608.696","47,760.362","28,425.426","43,598.417","53,179.535","56,360.333","52,009.911","25,211.593","66,459.705","92,075.253","85,944.577","47,068.344","78,023.904","122,215.71","84,636.393","94,857.986","111,157.159","196,250","171,811.437","1,483,357.327","160,000","151,111.111","113,207.547","113,114.754",,"150,000","150,495.05","147,826.087","160,000","146,153.846","150,000","73,684.211","40,000","73,170.732","148,148.148","0","0","111,428.571","152,112.676","0","0","72,727.273","80,000","-3,640,000","-66,666.667","-120,000","267,647.059","-5,600,000","40,000","80,000","80,000","80,000","80,000","120,000",
