name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
		CashDividendsPaid,"-752,000,000","-171,000,000","-160,000,000","-211,000,000","-210,000,000","-210,000,000","-186,000,000","-184,000,000","-195,000,000","-195,000,000","-174,000,000","-173,000,000","-173,000,000","-172,000,000","-161,000,000","-150,000,000","-151,000,000","-158,000,000","-148,000,000","-148,000,000","-148,000,000","-148,000,000","-138,000,000","-131,000,000","-131,000,000","-131,000,000","-131,000,000","-124,000,000","-124,000,000","-122,000,000","-122,000,000","-116,000,000","-116,000,000","-116,000,000","-116,000,000","-114,000,000","-108,000,000","-107,000,000","-107,000,000","-101,000,000","-100,000,000","-99,000,000","-100,000,000","-99,000,000","-95,000,000","-95,000,000","-95,000,000","-89,000,000","-88,000,000","-88,000,000","-88,000,000","-87,000,000","-87,000,000","-86,000,000","-86,000,000","-86,000,000","-86,000,000","-86,000,000","-86,000,000","-91,000,000","-93,000,000","-94,000,000","-91,000,000","-92,000,000","-91,000,000","-91,000,000","-92,000,000","-89,000,000","-89,000,000","-90,000,000","-89,000,000","-89,000,000","-89,000,000","-87,000,000","-87,000,000","-86,000,000","-87,000,000","-86,000,000","-86,000,000","-84,000,000","-84,000,000","-84,000,000","-93,000,000","-85,000,000","-74,000,000","-73,000,000","-97,000,000","-73,000,000","-74,000,000","-75,000,000","-75,000,000","-75,000,000","-74,000,000","-75,000,000","-75,000,000","-75,000,000","-74,000,000","-75,000,000","-74,800,000","-74,700,000","-74,800,000","-74,700,000","-74,700,000","-74,700,000","-74,800,000","-74,700,000","-52,500,000",,,
			CommonStockDividendPaid,"-752,000,000","-171,000,000","-160,000,000","-211,000,000","-210,000,000","-210,000,000","-186,000,000","-184,000,000","-195,000,000","-195,000,000","-174,000,000","-173,000,000","-173,000,000","-172,000,000","-161,000,000","-150,000,000","-151,000,000","-158,000,000","-148,000,000","-148,000,000","-148,000,000","-148,000,000","-138,000,000","-131,000,000","-131,000,000","-131,000,000","-131,000,000","-124,000,000","-124,000,000","-122,000,000","-122,000,000","-116,000,000","-116,000,000","-116,000,000","-116,000,000","-114,000,000","-108,000,000","-107,000,000","-107,000,000","-101,000,000","-100,000,000","-99,000,000","-100,000,000","-99,000,000","-95,000,000","-95,000,000","-95,000,000","-89,000,000","-88,000,000","-88,000,000","-88,000,000","-87,000,000","-87,000,000","-86,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-480,000,000","-34,000,000","-14,000,000","-406,000,000","-26,000,000","-37,000,000","-19,000,000","-398,000,000","-13,000,000","-36,000,000","-27,000,000","-19,000,000","-316,000,000","-38,000,000","-13,000,000","-4,000,000","-13,000,000","-11,000,000","-6,000,000","-38,000,000","-19,000,000","-8,000,000","85,000,000","10,000,000","2,000,000","3,000,000","2,000,000","3,000,000","5,000,000","-7,000,000","-5,000,000","-9,000,000","-6,000,000","-7,000,000","-3,000,000","-5,000,000","-5,000,000","-6,000,000","-6,000,000","-1,000,000","-2,000,000","-7,000,000","-12,000,000","-4,000,000","-17,000,000","2,000,000","-4,000,000","-16,000,000","-7,000,000","-9,000,000",,"-5,000,000","-9,000,000","-4,000,000","-3,000,000","-12,000,000","9,000,000","-4,000,000","-4,000,000","0",,,"-2,000,000","-2,000,000","-2,000,000","-4,000,000","-1,000,000","-3,000,000","-1,000,000","-1,000,000","-4,000,000","-2,000,000","-1,000,000","-2,000,000",,"12,000,000","19,000,000","4,000,000",,,,"-361,000,000",,"-84,000,000","-15,000,000","-15,000,000",,,,,,,,,"3,000,000","1,000,000",,,"-5,900,000","0","0","-100,000","-1,000,000","0","-2,100,000","-7,900,000","177,800,000","17,600,000","-400,000","-100,000"
EndCashPosition,"156,000,000","156,000,000","35,000,000","56,000,000","3,450,000,000","1,570,000,000","516,000,000","962,000,000","621,000,000","676,000,000","93,000,000","76,000,000","62,000,000","61,000,000","76,000,000","104,000,000","86,000,000","186,000,000","66,000,000","63,000,000","62,000,000","82,000,000","92,000,000","66,000,000","32,000,000","35,000,000","37,000,000","67,000,000","230,000,000","99,000,000","48,000,000","60,000,000","75,000,000","98,000,000","52,000,000","71,000,000","46,000,000","218,000,000","65,000,000","59,000,000","185,000,000","57,000,000","68,000,000","46,000,000","61,000,000","197,000,000","65,000,000","84,000,000","124,000,000","193,000,000","52,000,000","83,000,000","42,000,000","88,000,000","86,000,000","223,000,000","445,000,000","77,000,000","123,000,000","156,000,000","993,000,000","144,000,000","147,000,000","65,000,000","76,000,000","75,000,000","88,000,000","91,000,000","86,000,000","60,000,000","56,000,000","74,000,000","75,000,000","64,000,000","54,000,000","90,000,000","103,000,000","136,000,000","133,000,000","112,000,000","82,000,000","73,000,000","268,000,000","105,000,000","342,000,000","987,000,000","24,000,000","46,000,000","40,000,000","25,000,000","33,000,000","54,000,000","35,000,000","41,000,000","130,000,000","181,000,000","94,000,000","123,000,000","99,000,000","92,800,000","80,900,000","67,300,000","53,000,000","79,900,000","42,100,000","65,200,000","64,900,000","12,300,000","12,700,000","16,600,000"
	ChangesInCash,"-1,414,000,000","121,000,000","-21,000,000","-3,394,000,000","1,880,000,000","1,054,000,000","-446,000,000","341,000,000","-55,000,000","583,000,000",,,"1,000,000","-15,000,000","-28,000,000","18,000,000","-100,000,000","97,000,000","3,000,000","1,000,000","-20,000,000","-10,000,000","26,000,000","34,000,000","-3,000,000","-2,000,000","-30,000,000","-163,000,000","131,000,000","51,000,000","-12,000,000","-15,000,000","-23,000,000","46,000,000","-19,000,000","25,000,000","-172,000,000","153,000,000","6,000,000","-126,000,000","128,000,000","-11,000,000","22,000,000","-15,000,000","-136,000,000","132,000,000","-19,000,000","-40,000,000","-69,000,000","141,000,000","-31,000,000","41,000,000","-46,000,000","2,000,000","-137,000,000","-233,000,000","365,000,000","-43,000,000","-29,000,000","-830,000,000","849,000,000","-3,000,000","82,000,000","-11,000,000","1,000,000","-13,000,000","-3,000,000","5,000,000","26,000,000","4,000,000","-18,000,000","-1,000,000","11,000,000","10,000,000","-36,000,000","-13,000,000","-33,000,000","3,000,000","21,000,000","30,000,000","9,000,000","-195,000,000","163,000,000","-237,000,000","-645,000,000","923,000,000","7,000,000","6,000,000","15,000,000","-8,000,000","-21,000,000","19,000,000","-6,000,000","-89,000,000","3,000,000","87,000,000","-29,000,000","24,000,000","6,300,000","11,800,000","13,600,000","14,300,000","-26,900,000","38,000,000","-23,300,000","300,000","52,600,000","-400,000","-3,900,000","8,500,000"
	BeginningCashPosition,"1,570,000,000","35,000,000","56,000,000","3,450,000,000","1,570,000,000","516,000,000","962,000,000","621,000,000","676,000,000","93,000,000","76,000,000","62,000,000","61,000,000","76,000,000","104,000,000","86,000,000","186,000,000","89,000,000","63,000,000","62,000,000","82,000,000","92,000,000","66,000,000","32,000,000","35,000,000","37,000,000","67,000,000","230,000,000","99,000,000","48,000,000","60,000,000","75,000,000","98,000,000","52,000,000","71,000,000","46,000,000","218,000,000","65,000,000","59,000,000","185,000,000","57,000,000","68,000,000","46,000,000","61,000,000","197,000,000","65,000,000","84,000,000","124,000,000","193,000,000","52,000,000","83,000,000","42,000,000","88,000,000","86,000,000","223,000,000","445,000,000","77,000,000","120,000,000","156,000,000","993,000,000","144,000,000","147,000,000","65,000,000","76,000,000","75,000,000","88,000,000","91,000,000","86,000,000","60,000,000","56,000,000","74,000,000","75,000,000","64,000,000","54,000,000","90,000,000","103,000,000","136,000,000","133,000,000","112,000,000","82,000,000","73,000,000","268,000,000","105,000,000","342,000,000","987,000,000","64,000,000","46,000,000","40,000,000","25,000,000","33,000,000","54,000,000","35,000,000","41,000,000","130,000,000","181,000,000","94,000,000","123,000,000","99,000,000","92,800,000","80,900,000","67,300,000","53,000,000","79,900,000","42,100,000","65,200,000","64,900,000","12,300,000","12,700,000","16,600,000","8,100,000"
IncomeTaxPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,000,000","7,000,000","11,000,000","3,000,000","12,000,000","205,000,000","108,000,000","1,000,000","36,000,000","21,000,000","31,000,000","1,000,000","1,000,000","57,000,000","21,000,000","1,000,000","1,000,000","11,000,000","18,000,000","173,000,000","4,000,000","0","2,000,000","25,000,000","33,000,000","79,000,000","0","55,000,000","0","0","23,000,000","22,000,000","176,000,000","25,000,000","20,000,000","14,000,000","50,000,000","66,000,000","7,000,000","29,000,000",,,,,,,,,,,,,,,,
InterestPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"151,000,000","105,000,000","130,000,000","110,000,000","145,000,000","121,000,000","116,000,000","155,000,000","150,000,000","108,000,000","141,000,000","127,000,000","133,000,000","132,000,000","128,000,000","123,000,000","127,000,000","126,000,000","136,000,000","128,000,000","161,000,000","124,000,000","139,000,000","128,000,000","143,000,000","153,000,000","132,000,000","133,000,000","136,000,000","124,000,000","71,000,000","78,000,000","37,000,000","79,000,000","68,000,000","91,000,000","77,000,000","98,000,000","81,000,000","84,000,000",,,,,,,,,,,,,,,,
CapitalExpenditure,"-3,867,000,000","-764,000,000","-1,072,000,000","-826,000,000","-1,205,000,000","-669,000,000","-969,000,000","-865,000,000","-835,000,000","-1,188,000,000","-838,000,000","-763,000,000","-728,000,000","-668,000,000","-934,000,000","-622,000,000","-630,000,000","-527,000,000","-678,000,000","-536,000,000","-481,000,000","-555,000,000","-703,000,000","-481,000,000","-437,000,000","-424,000,000","-619,000,000","-506,000,000","-490,000,000","-405,000,000","-547,000,000","-422,000,000","-583,000,000","-497,000,000","-505,000,000","-466,000,000","-523,000,000","-382,000,000","-598,000,000","-383,000,000","-447,000,000","-392,000,000","-455,000,000","-310,000,000","-449,000,000","-270,000,000","-281,000,000","-303,000,000","-276,000,000","-239,000,000","-216,000,000","-206,000,000","-287,000,000","-326,000,000","-377,000,000","-342,000,000","-325,000,000","-329,000,000","-343,000,000","-335,000,000","-246,000,000","-375,000,000","-359,000,000","-326,000,000","-383,000,000","-335,000,000","-356,000,000","-279,000,000","-232,000,000","-198,000,000","-297,000,000","-211,000,000","-217,000,000","-179,000,000","-189,000,000","-162,000,000","-189,000,000","-211,000,000","-334,000,000","-195,000,000","-225,000,000","-230,000,000","-194,000,000","-339,000,000","-391,000,000","-172,000,000","-41,000,000","-150,000,000","-220,000,000","-176,000,000","-209,000,000","-174,000,000","-194,000,000","-162,000,000",,"-391,000,000","-116,000,000","-125,000,000","-131,400,000","-108,500,000","-335,700,000","-91,400,000","-132,600,000","-145,900,000","-136,200,000","-115,800,000","-160,700,000","-113,100,000","-94,800,000","-85,200,000"
IssuanceOfCapitalStock,,,,,,,,,,,"2,288,000,000","0",,,"-7,000,000","1,000,000",,,,,,,"654,000,000","0","0","0","0","0","0","9,000,000","0","0","0","0","10,000,000","10,000,000","9,000,000","10,000,000","10,000,000","9,000,000","10,000,000","10,000,000","0","0","0","0","10,000,000","3,000,000","14,000,000","9,000,000","8,000,000","9,000,000","9,000,000","9,000,000",,,,,,,,,"8,000,000",,,,"0",,,,"10,000,000","10,000,000","10,000,000","11,000,000","11,000,000","12,000,000","11,000,000","10,000,000","180,000,000","0","85,000,000","180,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
IssuanceOfDebt,"4,587,000,000","1,119,000,000","424,000,000","-2,000,000","3,046,000,000","989,000,000","968,000,000","1,039,000,000","593,000,000","1,092,000,000","1,073,000,000","-5,000,000","794,000,000","644,000,000","-1,000,000","913,000,000","520,000,000","0","388,000,000","515,000,000","-1,000,000","496,000,000","1,389,000,000","58,000,000","588,000,000","0","0","163,000,000","298,000,000","495,000,000","447,000,000","694,000,000","595,000,000","0","466,000,000","397,000,000","-1,000,000","372,000,000","264,000,000","-1,000,000",,,"271,000,000","361,000,000",,,"19,000,000","595,000,000",,,"64,000,000","0","363,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-3,772,000,000","-250,000,000","-280,000,000","-2,659,000,000","-583,000,000","0","-200,000,000","-382,000,000","0","-300,000,000","-821,000,000","0",,,"0","-3,000,000",,,"0","-379,000,000","-1,000,000","-5,000,000","-485,000,000","-68,000,000","-302,000,000","-11,000,000","-26,000,000","-142,000,000","-1,000,000","-117,000,000","-15,000,000","-558,000,000","-549,000,000","-115,000,000","-106,000,000","-340,000,000","-374,000,000","-141,000,000","-192,000,000","-307,000,000","-54,000,000","-86,000,000","-294,000,000","-440,000,000","-627,000,000","-94,000,000","127,000,000","-549,000,000","-1,000,000","-417,000,000","91,000,000","-64,000,000","-430,000,000","-500,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-67,000,000","-55,000,000","0","-12,000,000","0","-54,000,000",,,,,,,,,"0","0","0","0","0","0","0","-51,000,000","0","0","0","-33,000,000","0","0","0","0","0","0","-2,000,000","-50,000,000",,,,,"0","0","0","0","0","0","-9,000,000","-9,000,000",,,,,"0","0",,,"0","0","-3,000,000","-13,000,000","-22,000,000","-353,000,000","-278,000,000","-55,000,000","-51,000,000","0","-2,000,000","-8,000,000","-1,000,000","-1,000,000","-2,000,000","-9,000,000",,,,,,,,,"-185,000,000","-3,000,000","1,000,000","-2,000,000","-94,000,000","-74,000,000","-102,000,000","-168,000,000",,"0","-8,000,000","-62,000,000",,,,,"-50,000,000","0",,,,,,,"0","0","0","-185,000,000",,,"-82,000,000","-82,000,000"
FreeCashFlow,"-1,049,000,000","44,000,000","-377,000,000","-370,000,000","-346,000,000","388,000,000","-53,000,000","235,000,000","-215,000,000","-127,000,000","-90,000,000","-229,000,000","-113,000,000","84,000,000","-301,000,000","-8,000,000","-35,000,000","311,000,000","-111,000,000","-169,000,000","-85,000,000","232,000,000","-386,000,000","14,000,000","94,000,000","317,000,000","-176,000,000","-218,000,000","-57,000,000","342,000,000","-6,000,000","-200,000,000","-39,000,000","35,000,000","-66,000,000","-18,000,000","147,000,000","215,000,000","-118,000,000","185,000,000","94,000,000","228,000,000","67,000,000","17,000,000","-12,000,000","452,000,000","35,000,000","55,000,000","58,000,000","578,000,000","-71,000,000","167,000,000","175,000,000","513,000,000","164,000,000","-859,000,000","318,000,000","563,000,000","-10,000,000","-541,000,000","120,000,000","257,000,000","-86,000,000","-57,000,000","-82,000,000","278,000,000","52,000,000","-365,000,000","34,000,000","215,000,000","108,000,000","-140,000,000","22,000,000","101,000,000","519,000,000","-219,000,000","-24,000,000","-77,000,000","124,000,000","-51,000,000","139,000,000","-222,000,000","259,000,000","-346,000,000","-263,000,000","65,000,000","253,000,000","166,000,000","4,000,000","8,000,000","151,000,000","112,000,000","101,000,000","-6,000,000","203,000,000","-109,000,000","105,000,000","114,000,000","195,800,000","203,400,000","-203,700,000","143,500,000","164,200,000","192,000,000","51,900,000","140,000,000","95,500,000","245,700,000","95,700,000","22,200,000"
